"appId","title","abstract","origin","background","citedBy","citations","filingDate"
"US6629341B2","Method of fabricating a piezoelectric composite apparatus","A single vector calibration system is provided which facilitates the calibration of multi-axis load cells, including wind tunnel force balances. The single vector system provides the capability to calibrate a multi-axis load cell using a single directional load, for example loading solely in the gravitational direction. The system manipulates the load cell in three-dimensional space, while keeping the uni-directional calibration load aligned. The use of a single vector calibration load reduces the set-up time for the multi-axis load combinations needed to generate a complete calibration mathematical model. The system also reduces load application inaccuracies caused by the conventional requirement to generate multiple force vectors. The simplicity of the system reduces calibration time and cost, while simultaneously increasing calibration accuracy.
  ","The invention described herein was made by employees of the United States Government and may be used by or for the Government for governmental purposes without the payment of any royalties thereon or therefor.","The present invention is generally related to piezoelectric fiber composite strain actuators.","47","27","1999-10-29"
"US6629446B2","Single vector calibration system for multi-axis load cells and method for calibrating a multi-axis load cell","A computer implemented physical signal analysis method is includes two essential steps and the associated presentation techniques of the results. All the steps exist only in a computer: there are no analytic expressions resulting from the method. The first step is a computer implemented Empirical Mode Decomposition to extract a collection of Intrinsic Mode Functions (IMF) from nonlinear, nonstationary physical signals based on local extrema and curvature extrema. The decomposition is based on the direct extraction of the energy associated with various intrinsic time scales in the physical signal. Expressed in the IMF's, they have well-behaved Hilbert Transforms from which instantaneous frequencies can be calculated. The second step is the Hilbert Transform. The final result is the Hilbert Spectrum. Thus, the invention can localize any event on the time as well as the frequency axis. The decomposition can also be viewed as an expansion of the data in terms of the IMF's. Then, these IMF's, based on and derived from the data, can serve as the basis of that expansion. The local energy and the instantaneous frequency derived from the IMF's through the Hilbert transform give a full energy-frequency-time distribution of the data which is designated as the Hilbert Spectrum.
  ","The invention described herein was made by an employee of the United States and may be manufactured and used by or for the Government for any governmental purpose without payment of any royalties thereon or therefor.","The present invention generally relates to the field of precision force measurement systems. In particular, a system is provided which facilitates the calibration of high precision multi-axis load cells, including wind tunnel force balances. An example of one wind tunnel force balance is described by U.S. Pat. No. 5,663,497, Six Component Wind Tunnel Balance, by Philip Mole.","9","4","2001-01-08"
"US6631325B1","Computer implemented empirical mode decomposition method apparatus, and article of manufacture utilizing curvature extrema","A one-way bearing is provided having sprags and rolling bearings both disposed between an inner and an outer race. The sprags may comprise three-dimensional sprags for preventing rotation in a non-preferential direction. The rolling bearings may comprise thrust rollers for transmitting axial, tilt, and radial loads between the inner and outer races.
  ","This application claims the benefit of priority under 35 U.S.C. §120 to parent application Ser. No. (08/872,586) filed on Jun. 10, 1997, U.S. Pat. No. 5,983,162, which itself claims priority under 35 U.S.C. §119(e) to U.S. Provisional application Ser. No. 60/023,411 filed on Aug. 14, 1996 and Ser. No. 60/023,822 filed on Aug. 12, 1996.","The file of this patent contains at least one drawing executed in color. Copies of this patent with color drawing(s) will be provided by the Patent and Trademark Office upon request and payment of the necessary fee.","13","3","1996-08-12"
"US6640949B1","1-way bearing","The present invention describes a process for converting vapor streams from sources containing at least one nitrogen-containing oxidizing agent therein to a liquid fertilizer composition comprising the steps of:
    a) directing a vapor stream containing at least one nitrogen-containing oxidizing agent to a first contact zone,
    b) contacting said vapor stream with water to form nitrogen oxide(s) from said at least one nitrogen-containing oxidizing agent,
    c) directing said acid(s) as a second stream to a second contact zone,
    d) exposing said second stream to hydrogen peroxide which is present within said second contact zone in a relative amount of at least 0.1% by weight of said second stream within said second contact zone to convert at least some of any nitrogen oxide species or ions other than in the nitrate form present within said second stream to nitrate ion,
    e) sampling said stream within said second contact zone to determine the relative amount of hydrogen peroxide within said second contact zone,
    f) adding hydrogen peroxide to said second contact zone when a level of hydrogen peroxide less than 0.1% by weight in said second stream is determined by said sampling,
    g) adding a solution comprising potassium hydroxide to said second stream to maintain a pH between 6.0 and 11.0 within said second stream within said second contact zone to form a solution of potassium nitrate, and
    h) removing said solution of potassium nitrate from said second contact zone.
  ","Priority is claimed under 35 U.S.C. § 119(e) from U.S. Provisional Patent Application No. 60/273,478, filed on Mar. 3, 2001.","1. Field of the Invention","6","13","2001-03-03"
"US6641638B1","Process for nitrogen oxide waste conversion to fertilizer","Provided herein are apparatuses for deployment of at least one hypervelocity shield on a structure in exoatmospheric space. The apparatuses comprise a means of attaching to the structure at least at one place on the structure and further comprise at least one of the hypervelocity shields and a means of deploying said shields. Also provided are methods of deploying the hypervelocity shields using said apparatuses.
  ","This application is a Continuation-In-Part application of U.S. Ser. No. 08/772,057, filed Dec. 3, 1996, U.S. Pat. No. 6,039,783.","Many types of processes and industrial environments generate compounds containing nitrogen and oxygen, including nitrogen oxides, as effluents or waste materials. Any process which provides a sufficiently hot metal surface in contact with air can cause the formation of nitrogen oxides (usually as NO, NO2, or N2O2), with the heated metal surface acting as a catalyst. Metal finishing processes, certain etching processes, and chemical syntheses can produce nitrogen oxides as a by-product. Compounds containing nitrogen and oxygen (such as hydrazines) are also used in commerce or are produced as by-products in certain processes.","6","13","1996-12-03"
"US6647855B1","Apparatus and method for deploying a hypervelocity shield","A fiber optic connector polishing fixture assembly for supporting a terminus of a fiber optic cable before a polishing surface. The assembly comprises: a fiber optic polishing fixture adapted to support the terminus before the polishing surface; a fixture support connected to the fixture for supporting the fixture before the polishing surface; and an adjustable connection between the fixture and the fixture support having user accessible adjustment controls for allowing a user to operate the controls to shift the fixture and fixture support relative to one another for substantially eliminating an apex offset of the terminus with respect to the polishing surface.
  ","The invention described herein was made by employees of the United States Government and may be manufactured or used by or for the Government of the United States of America for governmental purposes without the payment of any royalties thereon or therefor.","This invention relates generally to the fields of hypervelocity impact shielding and to the deployment of such shields. Specifically, the present invention relates to apparatuses and methods to deploy protective hypervelocity shields adjacent exposed portions of a space vehicle for preventing damage to the vehicle caused by impact with meteoroids and orbiting particles.","12","33","2002-09-30"
"US6648522B2","Fiber optic connector polishing fixture assembly","System and methods are disclosed for fluid measurements which may be utilized to determine mass flow rates such as instantaneous mass flow of a fluid stream. In a preferred embodiment, the present invention may be utilized to compare an input mass flow to an output mass flow of a drilling fluid circulation stream. In one embodiment, a fluid flow rate is determined by utilizing a microwave detector in combination with an acoustic sensor. The acoustic signal is utilized to eliminate 2π phase ambiguities in a reflected microwave signal. In another embodiment, a fluid flow rate may be determined by detecting a phase shift of an acoustic signal across two different predetermined transmission paths. A fluid density may be determined by detecting a calibrated phase shift of an acoustic signal through the fluid. In another embodiment, a second acoustic signal may be transmitted through the fluid to define a particular 2π phase range which defines the phase shift. The present invention may comprise multiple transmitters/receivers operating at different frequencies to measure instantaneous fuel levels of cryogenic fuels within containers positioned in zero or near zero gravity environments. In one embodiment, a moveable flexible collar of transmitter/receivers may be utilized to determine inhomogenuities within solid rocket fuel tubes.
  ","The invention described herein was made in the performance of work under a NASA contract and by an employee of the United States Government and is subject to the provisions of Section 305 of the National Aeronautics and Space Act of 1958, Public Law 85-568 (72 Stat. 435; 42 USC 2457), and may be manufactured and used by or for the Government for governmental purposes without the payment of any royalties thereon or therefor.","This invention generally relates to fiber optic connector polishing fixtures.","0","9","2001-03-13"
"US6650280B2","Measurement system and method","System and methods are disclosed for transmitting and receiving electromagnetic pulses through a geological formation. A preferably programmable transmitter having an all-digital portion in a preferred embodiment may be operated at frequencies below 1 MHz without loss of target resolution by transmitting and over sampling received long PN codes. A gated and stored portion of the received signal may be correlated with the PN code to determine distances of interfaces within the geological formation, such as the distance of a water interfaces from a wellbore. The received signal is oversampled preferably at rates such as five to fifty times as high as a carrier frequency. In one method of the invention, an oil well with multiple production zones may be kept in production by detecting an approaching water front in one of the production zones and shutting down that particular production zone thereby permitting the remaining production zones to continue operating.
  ","This application claims the benefit of Provisional Applicational No. 60/254,642, filed Dec. 8, 2000.","1. Field of the Invention","24","19","2000-12-08"
"US6651739B2","Medium frequency pseudo noise geological radar","A video guidance sensor system for use in automated docking of a chase vehicle with a target vehicle wherein the chase vehicle includes a laser rangefinder that uses pulse or phase time of flight measurement to measure distance. The laser rangefinder includes a diode laser pulse or phase driver that produces an output signal to a timing element and simultaneously operates a laser diode. The laser diode produces an intense light beam of a predetermined wavelength which is directed to retroreflectors that are positioned on a passive target. The laser rangefinder includes an avalanche photodetector that produces a corresponding output signal when detecting light reflected from the retroreflectors. The timing element measures a time interval between the output of the laser diode and the detection of light and supplies a corresponding output signal to a computer in order to determine the range of the target vehicle relative to the chase vehicle.
  ","The invention described herein was made in the performance of work under a NASA contract and is subject to the provisions of Section 305 of the National Aeronautics and Space Act of 1958, Public Law 85-568 (72 Stat. 435; 42 U.S.C. 2457).","The present invention relates generally to ground penetrating radar and, more specifically, to a preferably digitally controlled transceiver operable to produce and broadcast a pseudo noise code through geological formations at medium frequencies.","15","12","2001-02-21"
"US6658329B1","Video guidance sensor system with laser rangefinder","A zero-valent metal emulsion is used to dehalogenate solvents, such as pooled dense non-aqueous phase liquids (DNAPLs), including trichloroethylene (TCE). The zero-valent metal emulsion contains zero-valent metal particles, a surfactant, oil and water. The preferred zero-valent metal particles are nanoscale and microscale zero-valent iron particles
  ","This invention was made by employees of the United States Government and may be manufactured and used by or for the Government for governmental purposes without the payment of any royalties.","Prior techniques used in determining the range between two spacecraft vehicles for automatic rendezvous and docking of such, includes vehicle radar, man in loop estimates, global positioning systems, lasers, loran, and video guidance sensor systems for processing optical images in determining range. The video guidance sensor system approach, which is of particular importance here, is based on the concept of using captured and processed images to determine the relative positions and attitudes of a video guidance sensor and target. However, conventional video guidance sensor systems tend to be bulky, heavy, slow and demand higher power requirements.","13","4","2002-05-02"
"US6664298B1","Zero-valent metal emulsion for reductive dehalogenation of DNAPLs","The present invention discloses and teaches apparatus for combining Radio Frequency (RF) technology with novel micro-inductor antennas and signal processing circuits for RF telemetry of real time, measured data, from microelectromechanical system (MEMS) sensors, through electromagnetic coupling with a remote powering/receiving device. Such technology has many applications, but is especially useful in the biomedical area.
  ","The invention described herein was made in the performance of work under a NASA contract and by an employee of the United States Government and is subject to the provisions of Public Law 96-517 (35 U.S.C. § 202) and may be manufactured and used by or for the Government for governmental purposes without the payment of any royalties thereon or therefore. In accordance with 35 U.S.C. § 202, the contractor elected not to retain title.","This invention relates generally to the use of a zero-valent metal emulsion to remediate halogenated solvents found in water. Preferably, zero-valent iron emulsions containing nanoscale or microscale iron particles are used to remediate dense non-aqueous phase liquid (DNAPL) sources found in groundwater.","22","32","2001-10-02"
"US6667725B1","Radio frequency telemetry system for sensors and actuators","A process for making a cast article from an aluminum alloy includes first casting an article from an alloy having the following composition, in weight percent:
    
       Silicon (Si)14.0-25.0Copper (Cu)5.5-8.0Iron (Fe)  0-0.8Magnesium (Mg)0.5-1.5Nickel (Ni)0.05-1.2 Manganese (Mn)  0-1.0Titanium (Ti)0.05-1.2 Zirconium (Zr)0.12-1.2 Vanadium (V)0.05-1.2 Zinc (Zn)  0-0.9Phosphorus (P)0.001-0.1 Aluminumbalance
    In this alloy the ration of Si:Mg is 15-35, and the ratio of Cu:Mg is 4-15. After an article is cast from the alloy, the cast article is aged at a temperature within the range of 400° F. to 500° F. for a time period within the range of four to 16 hours. It has been found especially advantageous if the cast article is first exposed to a solutionizing step prior to the aging step. This solutionizing step is carried out by exposing the cast article to a temperature within the range of 875° F. to 1025° F. for a time period of fifteen minutes to four hours. It has also been found to be especially advantageous if the solutionizing step is followed directly with a quenching step, wherein the cast article is quenched in a quenching medium such as water at a temperature within the range of 120° F. to 300° F. The resulting cast article is highly suitable in a number of high temperature applications, such as heavy-duty pistons for internal combustion engines.
  ","The invention described herein was made by employees of the United States Government and may be manufactured and used by or for the Government, for Government purposes, without the payment of any royalties thereon or therefore.","The present invention generally relates to combining Radio Frequency (RF) technology with novel micro-inductor antennas and signal processing circuits for RF telemetry of real time, measured data, from microelectromechanical system (MEMS) sensors, through electromagnetic coupling with a remote powering/receiving device. Such technology has many applications, but is especially useful in the biomedical area.","83","12","2002-08-20"
"US6669792B2","Process for producing a cast article from a hypereutectic aluminum-silicon alloy","The present invention provides systems for growing two or three dimensional mammalian cells within a culture medium facilitated by an electromagnetic field, and preferably, a time varying electromagnetic field. The cells and culture medium are contained within a fixed or rotating culture vessel, and the electromagnetic field is emitted from at least one electrode. In one embodiment, the electrode is spaced from the vessel. The invention further provides methods to promote neural tissue regeneration by means of culturing the neural cells in the claimed system. In one embodiment, neuronal cells are grown within longitudinally extending tissue strands extending axially along and within electrodes comprising electrically conductive channels or guides through which a time varying electrical current is conducted, the conductive channels being positioned within a culture medium.
  ","This application is a continuation-in-part of application Ser. No. 09/152,469 filed Sep. 8, 1998 now abandoned, for Aluminum Alloy Having Improved Properties.","1. Field of the Invention","2","6","1998-09-08"
"US6673597B2","Growth stimulation of biological cells and tissue by electromagnetic fields and uses thereof","A method, simulation, and apparatus are provided that are highly suitable for treatment of benign prostatic hyperplasia (BPH). A catheter is disclosed that includes a small diameter disk loaded monopole antenna surrounded by fusion material having a high heat of fusion and a melting point preferably at or near body temperature. Microwaves from the antenna heat prostatic tissue to promote necrosing of the prostatic tissue that relieves the pressure of the prostatic tissue against the urethra as the body reabsorbs the necrosed or dead tissue. The fusion material keeps the urethra cool by means of the heat of fusion of the fusion material. This prevents damage to the urethra while the prostatic tissue is necrosed. A computer simulation is provided that can be used to predict the resulting temperature profile produced in the prostatic tissue. By changing the various control features of the catheter and method of applying microwave energy a temperature profile can be predicted and produced that is similar to the temperature profile desired for the particular patient.
  ","This application is a division of application Ser. No. 09/587,028, filed Jun. 2, 2000 now U.S. Pat. No. 6,485,963.","1. Field of the Invention","32","15","2000-06-02"
"US6675050B2","Computer program for microwave antenna","A method for removing NOX from gas streams emanating from stationary combustion sources and manufacturing plants utilizes the injection of hydrogen peroxide into the gas stream for rapid gas-phase oxidation of NO to NO2 and water-soluble nitrogen acids HNO2 and HNO3. The nitrogen acids may be removed from the oxidized gas stream by wet scrubbing or by contact with a particulate alkaline material to form a nitrite/nitrate salt.
  ","This is a divisional application of presently application Ser. No. 09/511,961 filed Feb. 23, 2000, now U.S. Pat. No. 6,289,249, which is incorporated herein and made a part hereof, which is a continuation-in-part of Application Ser. No. 08/641,045 U.S. Pat. No. 5,904,709, filed Apr. 17, 1996 and issued May 18, 1999, and is a continuation-in-part of U.S. patent application Ser. Nos. 09/162,457 (abandoned) and 09/154,622 (now U.S. Pat. No. 6,175,768) each filed Sep. 16, 1998, and is a continuation-in-part of U.S. application Ser. No. 09/154,989 filed Sep. 17, 1998 now U.S. Pat. No. 6,134,476.","1. Field of the Invention","30","22","1996-04-17"
"US6676912B1","Method for removal of nitrogen oxides from stationary combustion sources","Microcapsules prepared by encapsulating an aqueous solution of a protein, drug or other bioactive substance inside a semi-permeable membrane by are disclosed. The microcapsules are formed by interfacial coacervation under conditions where the shear forces are limited to 0-100 dynes/cm2 at the interface. By placing the microcapsules in a high osmotic dewatering solution, the protein solution is gradually made saturated and then supersaturated, and the controlled nucleation and crystallization of the protein is achieved. The crystal-filled microcapsules prepared by this method can be conveniently harvested and stored while keeping the encapsulated crystals in essentially pristine condition due to the rugged, protective membrane. Because the membrane components themselves are x-ray transparent, large crystal-containing microcapsules can be individually selected, mounted in x-ray capillary tubes and subjected to high energy x-ray diffraction studies to determine the 3-D structure of the protein molecules. Certain embodiments of the microcapsules of the invention have composite polymeric outer membranes which are somewhat elastic, water insoluble, permeable only to water, salts, and low molecular weight molecules and are structurally stable in fluid shear forces typically encountered in the human vascular system.
  ","This application is based upon prior filed copending provisional application Serial No. 60/163,045 filed Oct. 28, 1999.","The present invention relates generally to the field of pollution control, and, more particularly, to removing nitrogen oxides (NOX) from effluent gases.","17","19","1999-10-28"
"US6676964B2","Method for determining the three-dimensional structure of a protein","A phrase generation is a method of generating sequences of terms, such as phrases, that may occur within a database of subsets containing sequences of terms, such as text. A database is provided and a relational model of the database is created. A query is then input. The query includes a term or a sequence of terms or multiple individual terms or multiple sequences of terms or combinations thereof. Next, several sequences of terms that are contextually related to the query are assembled from contextual relations in the model of the database. The sequences of terms are then sorted and output. Phrase generation can also be an iterative process used to produce sequences of terms from a relational model of a database.
  ","This application is a divisional of U.S. Patent Application No. 09/079,766 filed May 15, 1998, now U.S. Pat. No. 6,387,399, which is a continuation-in-part of U.S. Patent Application No. 08/349,169 filed Dec. 2, 1994, now U.S. Pat. No. 5,827,531.","1. Field of the Invention","0","0","1994-12-02"
"US6697793B2","System, method and apparatus for generating phrases from a database","A method of bulk manufacturing SiC sensors is disclosed and claimed. Materials other than SiC may be used as the substrate material. Sensors requiring that the SiC substrate be pierced are also disclosed and claimed. A process flow reversal is employed whereby the metallization is applied first before the recesses are etched into or through the wafer. Aluminum is deposited on the entire planar surface of the metallization. Photoresist is spun onto the substantially planar surface of the Aluminum which is subsequently masked (and developed and removed). Unwanted Aluminum is etched with aqueous TMAH and subsequently the metallization is dry etched. Photoresist is spun onto the still substantially planar surface of Aluminum and oxide and then masked (and developed and removed) leaving the unimidized photoresist behind. Next, ITO is applied over the still substantially planar surface of Aluminum, oxide and unimidized photoresist. Unimidized and exposed photoresist and ITO directly above it are removed with Acetone. Next, deep reactive ion etching attacks exposed oxide not protected by ITO. Finally, hot phosphoric acid removes the Al and ITO enabling wires to connect with the metallization. The back side of the SiC wafer may be also be etched.
  ","The present invention relates to relational analysis and representation, database information retrieval and search engine technology and, more specifically, a system and method of analyzing data in context.","One known application includes various forms of, and attempts to improve upon, keyword search type technologies. These improvements include statistical analysis and analysis based upon grammar or parts of speech. Statistical analysis generally relies upon the concept that common or often-repeated terms are of greater importance than less common or rarely used terms. Parts of speech attach importance to different terms based upon whether the term is a noun, verb, pronoun, adverb, adjective, article, etc. Typically a noun would have more importance than an article therefore nouns would be processed where articles would be ignored.","74","30","2001-03-02"
"US6706549B1","Multi-functional micro electromechanical devices and method of bulk manufacturing same","A system and method uses a wireless tether comprising a transmitter and a receiver to alert a caregiver that an object or person has been left unattended. A detector senses the presence of the object, usually a child, located in a position such as a safety seat. The detector couples to the transmitter, which is located near the object. The transmitter transmits at least one wireless signal when the object is in the position. The receiver, which is remotely located from the transmitter, senses the at least one signal as long as the receiver is within a prescribed range of transmission. By performing a timing function, the receiver monitors the proximity of the caregiver, who maintains possession of the receiver, to the transmitter. The system communicates an alarm to the caregiver when the caregiver ventures outside the range of transmission without having removed the object/child from the position.
  ","The invention described herein was made by an employee of the United States Government, and may be manufactured and used by the government for government purposes without the payment of any royalties therein and therefor.","Strain gages have been bonded on metal diaphragms to produce pressure sensors or accelerometers. Because these transducers are made of materials with dissimilar properties, they suffer from coefficient of thermal expansion (CTE) mismatch, which leads to fatigue and early failure. In addition the production process is time consuming since each strain gage must be placed on the diaphragm one at a time.","11","8","2002-04-12"
"US6714132B2","Self-activating system and method for alerting when an object or a person is left unattended","A test apparatus and method of its use for evaluating various performance aspects of a piping segment locates a piping segment between two cold boxes. A first cold box conditions test fluid before providing the fluid into the piping segment. The first and second cold boxes both significantly reduce, if not eliminate, any heat transfer from the ends of the piping so that accurate measurements of heat leak rates from the sides of the piping segment may be determined.
  ","Pursuant to 35 U.S.C. §119, the benefit of priority from provisional application No. 60/329,692, with a filing date of Oct. 11, 2001, is claimed for this non-provisional application.","This invention relates to proximity sensing systems. More specifically, the invention is a self-activating system that alerts someone when an object or a person is left unattended in a motor vehicle or other dangerous environment.","46","20","2001-10-11"
"US6715914B1","Apparatus and method for thermal performance testing of pipelines and piping systems","The present invention relates to the preservation of a liquid biological sample. The biological sample is exposed to a preservative containing at least about 0.15 g of sodium benzoate and at least about 0.025 g of citric acid per 100 ml of sample. The biological sample may be collected in a vessel or an absorbent mass. The biological sample may also be exposed to a substrate and/or a vehicle.
  ","This invention was made in the performance of work under a NASA contract and by an employee of the United States Government and is subject to the provisions of Public Law 96-517 (35 U.S.C. §202) and may be manufactured and used by or for the Government for governmental purposes without the payment of any royalties thereon or thereof In accordance with 35 U.S.C. §202, the contractor elected not to retain title.","This invention relates to a mobile test apparatus and a method of making precise thermal performance measurements of process piping and systems, and more specifically to a testing method and apparatus for evaluating thermal insulation systems of pipelines of various media at various temperatures.","7","25","2002-06-26"
"US6716392B1","Preservation of liquid biological samples","A system with multimodality instrument for tissue identification includes a computer-controlled motor driven heuristic probe with a multisensory tip. For neurosurgical applications, the instrument is mounted on a stereotactic frame for the probe to penetrate the brain in a precisely controlled fashion. The resistance of the brain tissue being penetrated is continually monitored by a miniaturized strain gauge attached to the probe tip. Other modality sensors may be mounted near the probe tip to provide real-time tissue characterizations and the ability to detect the proximity of blood vessels, thus eliminating errors normally associated with registration of pre-operative scans, tissue swelling, elastic tissue deformation, human judgement, etc., and rendering surgical procedures safer, more accurate, and efficient. A neural network program adaptively learns the information on resistance and other characteristic features of normal brain tissue during the surgery and provides near real-time modeling. A fuzzy logic interface to the neural network program incorporates expert medical knowledge in the learning process. Identification of abnormal brain tissue is determined by the detection of change and comparison with previously learned models of abnormal brain tissues. The operation of the instrument is controlled through a user friendly graphical interface. Patient data is presented in a 3D stereographics display. Acoustic feedback of selected information may optionally be provided. Upon detection of the close proximity to blood vessels or abnormal brain tissue, the computer-controlled motor immediately stops probe penetration. The use of this system will make surgical procedures safer, more accurate, and more efficient. Other applications of this system include the detection, prognosis and treatment of breast cancer, prostate cancer, spinal diseases, and use in general exploratory surgery.
  ","This application is a divisional of application Ser. No. 09/007,239, filed on Jan. 14, 1998, now U.S. Pat. No. 6,133,036 issued on Oct. 17, 2000, which is a continuation-in-part of Ser. No. 08/587,763, filed on Dec. 12, 1995, now abandoned.","1. Field of the Invention","12","6","1995-12-12"
"US6718196B1","Multimodality instrument for tissue characterization","Method and system for recognizing and characterizing bioelectric potential or electromyographic (EMG) signals associated with at least one of a coarse gesture and a fine gesture that is performed by a person, and use of the bioelectric potentials to enter data and/or commands into an electrical and/or mechanical instrument. As a gesture is performed, bioelectric signals that accompany the gesture are subjected to statistical averaging, within selected time intervals. Hidden Markov model analysis is applied to identify hidden, gesture-related states that are present. A metric is used to compare signals produced by a volitional gesture (not yet identified) with corresponding signals associated with each of a set of reference gestures, and the reference gesture that is “closest” to the volitional gesture is identified. Signals representing the volitional gesture are analyzed and compared with a database of reference gestures to determine if the volitional gesture is likely to be one of the reference gestures. Electronic and/or mechanical commands needed to carry out the gesture may be implemented at an interface to control an instrument. Applications include control of an aircraft, entry of data from a keyboard or other data entry device, and entry of data and commands in extreme environments that interfere with accurate entry.
  ","This application is a continuation of application(s) application Ser. No. 09/017,519 filed on Feb. 2, 1998 now U.S. Pat. No. 6,109,270 application Ser. No. 08/795,272 filed on Feb. 4, 1997 now abandoned.","1. Technical Field of the Invention","51","15","1997-02-04"
"US6720984B1","Characterization of bioelectric potentials","A phrase discovery is a method of identifying sequences of terms in a database. First, a selection of one or more relevant sequences of terms, such as relevant text, is provided. Next, several shorter sequences of terms, such as phrases, are extracted from the provided relevant sequences of terms. The extracted sequences of terms are then reduced through a culling process. A gathering process then emphasizes the more relevant of the extracted and culled sequences of terms and de-emphasizes the more generic of the extracted and culled sequences of terms. The gathering process can also include iteratively retrieving additional selections of relevant sequences (e.g., text), extracting and culling additional sequences of terms (e.g., phrases), emphasizing and de-emphasizing extracted and culled sequences of terms and accumulating all gathered sequences of terms. The resulting gathered sequences of terms are then output.
  ","This invention relates to monitoring and characterization of bioelectric. potentials in muscles and related body components that arise from gestures.","The minimum size of a computer or other signal processor is rapidly decreasing, and the sizes of many of these processors today are already smaller than the sizes of the conventional data/command entry interfaces, such as keyboards, chording keyboards, touch screen locations and light pens, that are available for data/command entry. Development of a system that monitors and analyzes bioelectric potentials generated in the body by gestures would allow these conventional interfaces to be replaced by virtual data/command entry interfaces that are not limited by the minimum size of the interface. With such a virtual system, the operator makes a gesture that would be carried out on an interface of conventional size, if such an interface were present, and the system monitors and interprets the bioelectric potentials generated in a selected part of the operator's body and translates these bioelectric potentials to one or more electronic commands for a selected instrument (computer, signal processor, vehicle controller, cellphone, etc.)","92","10","2000-06-13"
"US6721728B2","System, method and apparatus for discovering phrases in a database","The present invention provides a method for production of functional proteins including hormones by renal cells in a three dimensional co-culture process responsive to shear stress using a rotating wall vessel. Natural mixture of renal cells expresses the enzyme 1-a-hydroxylase which can be used to generate the active form of vitamin D: 1,25-diOH vitamin D3. The fibroblast cultures and co-culture of renal cortical cells express the gene for erythropoietin and secrete erythropoietin into the culture supernatant. Other shear stress response genes are also modulated by shear stress, such as toxin receptors megalin and cubulin (gp280). Also provided is a method of treating in-need individual with the functional proteins produced in a three dimensional co-culture process responsive to shear stress using a rotating wall vessel.
  ","The present invention relates to relational analysis and representation, database information retrieval and search engine technology and, more specifically, a system and method of analyzing data in context.","One known application includes various forms of, and attempts to improve upon, keyword search type technologies. These improvements include statistical analysis and analysis based upon grammar or parts of speech. Statistical analysis generally relies upon the concept that common or often-repeated terms are of greater importance than less common or rarely used terms. Parts of speech attach importance to different terms based upon whether the term is a noun, verb, pronoun, adverb, adjective, article, etc. Typically a noun would have more importance than an article therefore nouns would be processed where articles would be ignored.","170","36","2001-03-02"
"US6730498B1","Production of functional proteins: balance of shear stress and gravity","A method for forming ferroelectric wafers is provided. A prestress layer is placed on the desired mold. A ferroelectric wafer is placed on top of the prestress layer. The layers are heated and then cooled, causing the ferroelectric wafer to become prestressed. The prestress layer may include reinforcing material and the ferroelectric wafer may include electrodes or electrode layers may be placed on either side of the ferroelectric layer. Wafers produced using this method have greatly improved output motion.
  ","The present application claims the benefit of 35 U.S.C. §111(b) provisional patent application 60/043,205 filed Apr. 8, 1997.","The invention described herein was also made by inventors in the performance of work under an agreement with Tulane Educational Fund and is subject to the provisions of Section 305 of the National Aeronautics and Space Act of 1958, Public Law 85-568 (72 Stat. 435; 42 U.S.C. 2457).","9","3","1997-04-08"
"US6734603B2","Thin layer composite unimorph ferroelectric driver and sensor","A computer implemented physical signal analysis method includes four basic steps and the associated presentation techniques of the results. The first step is a computer implemented Empirical Mode Decomposition that extracts a collection of Intrinsic Mode Functions (IMF) from nonlinear, nonstationary physical signals. The decomposition is based on the direct extraction of the energy associated with various intrinsic time scales in the physical signal. Expressed in the IMF's, they have well-behaved Hilbert Transforms from which instantaneous frequencies can be calculated. The second step is the Hilbert Transform which produces a Hilbert Spectrum. Thus, the invention can localize any event on the time as well as the frequency axis. The decomposition can also be viewed as an expansion of the data in terms of the IMF's. Then, these IMF's, based on and derived from the data, can serve as the basis of that expansion. The local energy and the instantaneous frequency derived from the IMF's through the Hilbert transform give a full energy-frequency-time distribution of the data which is designated as the Hilbert Spectrum. The third step filters the physical signal by combining a subset of the IMFs. In the fourth step, a curve may be fitted to the filtered signal which may not have been possible with the original, unfiltered signal.
  ","This application is a continuing application of commonly-owned patent application Ser. No. 08/416,598, filed Apr. 4, 1995, now U.S. Pat. No. 5,632,841.","1. Technical Field of the Invention","16","15","1995-04-04"
